Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Geographic Area Name_x,Area_Type,Tract_x,Plurality Race,Tract_y, !!Total:!!Population of one race:!!White alone_PROPORTION, !!Total:!!Population of one race:!!Black or African American alone_PROPORTION, !!Total:!!Population of one race:!!American Indian and Alaska Native alone_PROPORTION, !!Total:!!Population of one race:!!Asian alone_PROPORTION, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone_PROPORTION, !!Total:!!Population of one race:!!Some Other Race alone_PROPORTION,FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000",Geographic Area Name_y,Estimate!!Total!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!AGE!!16 to 19 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher
4001.0,4.4,4001.0,Urban,4001.0,White,4001.0,0.6155365371955234,0.04739960500329164,0.0006583278472679394,0.17709019091507572,0.003620803159973667,0.026333113890717578,6001400100,4001.0,3,"3,038","3,041",99,4001.0,2511,1.0,65,1644,24,18,141,1461
4002.0,5.8,4002.0,Urban,4002.0,White,4002.0,0.7101449275362319,0.01999000499750125,0.0014992503748125937,0.10344827586206896,0.001999000499750125,0.02048975512243878,6001400200,4002.0,1,"2,001","2,002",50,4002.0,1669,7.9,22,1174,18,46,95,1015
4003.0,5.1,4003.0,Urban,4003.0,White,4003.0,0.620094476744186,0.10192587209302326,0.004723837209302325,0.10065406976744186,0.0049055232558139535,0.03470203488372093,6001400300,4003.0,1,"5,504","5,505",18,4003.0,4317,3.4,202,3193,82,87,463,2561
4004.0,9.4,4004.0,Urban,4004.0,White,4004.0,0.6724221789883269,0.07028210116731518,0.0029182879377431907,0.09703307392996109,0.0019455252918287938,0.029669260700389104,6001400400,4004.0,6,"4,112","4,118",146,4004.0,3361,2.5,99,2705,78,165,362,2100
4005.0,9.8,4005.0,Urban,4005.0,White,4005.0,0.5370472008781558,0.17151481888035125,0.006586169045005488,0.08424807903402853,0.0013721185510428102,0.04610318331503842,6001400500,4005.0,15,"3,644","3,659",410,4005.0,3588,6.4,111,2409,30,293,294,1792
4006.0,9.8,4006.0,Urban,4006.0,White,4006.0,0.46868008948545864,0.24440715883668904,0.006152125279642058,0.06991051454138703,0.0011185682326621924,0.0592841163310962,6001400600,4006.0,5,"1,788","1,793",279,4006.0,1554,5.6,46,1119,16,60,215,828
4007.0,10.9,4007.0,Urban,4007.0,White,4007.0,0.4321206743566992,0.27085181898846494,0.006654835847382431,0.0925022182786158,0.0022182786157941437,0.0694321206743567,6001400700,4007.0,19,"4,508","4,527",420,4007.0,4272,6.0,92,3539,188,270,858,2223
4008.0,9.8,4008.0,Urban,4008.0,White,4008.0,0.4100076589226449,0.25402093438856266,0.006382435537401072,0.14832780188920092,0.0051059484299208575,0.0643349502170028,6001400800,4008.0,11,"3,917","3,928",280,4008.0,3388,3.9,57,2698,34,471,549,1644
4009.0,8.8,4009.0,Urban,4009.0,White,4009.0,0.42601431980906923,0.2541766109785203,0.005171042163882259,0.09824980111376293,0.0015910898965791568,0.06404136833731106,6001400900,4009.0,6,"2,514","2,520",238,4009.0,2408,5.1,51,1851,116,321,504,910
4010.0,8.3,4010.0,Urban,4010.0,White,4010.0,0.38609152041987865,0.3065442020665901,0.008364769558799409,0.09644087256027555,0.005412497949811383,0.07216663933081843,6001401000,4010.0,21,"6,097","6,118",343,4010.0,5374,6.5,158,4083,469,536,660,2418
