FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
06001400100,"Alameda County, Census Tract 4001",3,"3,038","3,041",99
06001400200,"Alameda County, Census Tract 4002",1,"2,001","2,002",50
06001400300,"Alameda County, Census Tract 4003",1,"5,504","5,505",18
06001400400,"Alameda County, Census Tract 4004",6,"4,112","4,118",146
06001400500,"Alameda County, Census Tract 4005",15,"3,644","3,659",410
06001400600,"Alameda County, Census Tract 4006",5,"1,788","1,793",279
06001400700,"Alameda County, Census Tract 4007",19,"4,508","4,527",420
06001400800,"Alameda County, Census Tract 4008",11,"3,917","3,928",280
06001400900,"Alameda County, Census Tract 4009",6,"2,514","2,520",238
06001401000,"Alameda County, Census Tract 4010",21,"6,097","6,118",343
06001401100,"Alameda County, Census Tract 4011",10,"4,966","4,976",201
06001401200,"Alameda County, Census Tract 4012",5,"2,989","2,994",167
06001401300,"Alameda County, Census Tract 4013",7,"5,887","5,894",119
06001401400,"Alameda County, Census Tract 4014",25,"5,355","5,380",465
06001401500,"Alameda County, Census Tract 4015",13,"2,661","2,674",486
06001401600,"Alameda County, Census Tract 4016",10,"2,971","2,981",335
06001401700,"Alameda County, Census Tract 4017",18,"6,121","6,139",293
06001401800,"Alameda County, Census Tract 4018",5,"1,981","1,986",252
06001402200,"Alameda County, Census Tract 4022",10,"3,250","3,260",307
06001402400,"Alameda County, Census Tract 4024",13,"2,459","2,472",526
06001402500,"Alameda County, Census Tract 4025",16,"2,010","2,026",790
06001402600,"Alameda County, Census Tract 4026",3,"1,226","1,229",244
06001402700,"Alameda County, Census Tract 4027",7,"1,827","1,834",382
06001402801,"Alameda County, Census Tract 4028.01",8,"2,941","2,949",271
06001402802,"Alameda County, Census Tract 4028.02",6,"1,453","1,459",411
06001402900,"Alameda County, Census Tract 4029",1,"1,917","1,918",52
06001403000,"Alameda County, Census Tract 4030",5,"3,007","3,012",166
06001403100,"Alameda County, Census Tract 4031",3,"1,690","1,693",177
06001403301,"Alameda County, Census Tract 4033.01",3,"1,999","2,002",150
06001403302,"Alameda County, Census Tract 4033.02",2,"3,220","3,222",62
06001403401,"Alameda County, Census Tract 4034.01",5,"3,031","3,036",165
06001403402,"Alameda County, Census Tract 4034.02",2,"1,524","1,526",131
06001403501,"Alameda County, Census Tract 4035.01",7,"5,880","5,887",119
06001403502,"Alameda County, Census Tract 4035.02",2,"2,148","2,150",93
06001403600,"Alameda County, Census Tract 4036",3,"4,717","4,720",64
06001403701,"Alameda County, Census Tract 4037.01",3,"2,786","2,789",108
06001403702,"Alameda County, Census Tract 4037.02",0,"2,149","2,149",0
06001403800,"Alameda County, Census Tract 4038",6,"3,710","3,716",161
06001403900,"Alameda County, Census Tract 4039",4,"3,943","3,947",101
06001404000,"Alameda County, Census Tract 4040",1,"3,049","3,050",33
06001404101,"Alameda County, Census Tract 4041.01",2,"3,139","3,141",64
06001404102,"Alameda County, Census Tract 4041.02",1,"2,516","2,517",40
06001404200,"Alameda County, Census Tract 4042",1,"3,641","3,642",27
06001404300,"Alameda County, Census Tract 4043",1,"3,416","3,417",29
06001404400,"Alameda County, Census Tract 4044",6,"5,621","5,627",107
06001404501,"Alameda County, Census Tract 4045.01",1,"1,771","1,772",56
