"GEO_ID","NAME","H2_001N","H2_001NA","H2_002N","H2_002NA","H2_003N","H2_003NA","H2_004N","H2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0400000US06","California","14392140","null","13445407","null","946733","null","0","null",
"1400000US06001400100","Census Tract 4001; Alameda County; California","1395","null","1395","null","0","null","0","null",
"1400000US06001400200","Census Tract 4002; Alameda County; California","892","null","892","null","0","null","0","null",
"1400000US06001400300","Census Tract 4003; Alameda County; California","2764","null","2764","null","0","null","0","null",
"1400000US06001400400","Census Tract 4004; Alameda County; California","1958","null","1958","null","0","null","0","null",
"1400000US06001400500","Census Tract 4005; Alameda County; California","1694","null","1694","null","0","null","0","null",
"1400000US06001400600","Census Tract 4006; Alameda County; California","772","null","772","null","0","null","0","null",
"1400000US06001400700","Census Tract 4007; Alameda County; California","2067","null","2067","null","0","null","0","null",
"1400000US06001400800","Census Tract 4008; Alameda County; California","1835","null","1835","null","0","null","0","null",
"1400000US06001400900","Census Tract 4009; Alameda County; California","1201","null","1201","null","0","null","0","null",
"1400000US06001401000","Census Tract 4010; Alameda County; California","2703","null","2703","null","0","null","0","null",
"1400000US06001401100","Census Tract 4011; Alameda County; California","2727","null","2727","null","0","null","0","null",
"1400000US06001401200","Census Tract 4012; Alameda County; California","1512","null","1512","null","0","null","0","null",
"1400000US06001401300","Census Tract 4013; Alameda County; California","2853","null","2853","null","0","null","0","null",
"1400000US06001401400","Census Tract 4014; Alameda County; California","1795","null","1795","null","0","null","0","null",
"1400000US06001401500","Census Tract 4015; Alameda County; California","1221","null","1221","null","0","null","0","null",
"1400000US06001401600","Census Tract 4016; Alameda County; California","1017","null","1017","null","0","null","0","null",
"1400000US06001401700","Census Tract 4017; Alameda County; California","1947","null","1947","null","0","null","0","null",
"1400000US06001401800","Census Tract 4018; Alameda County; California","848","null","848","null","0","null","0","null",
"1400000US06001402200","Census Tract 4022; Alameda County; California","1050","null","1050","null","0","null","0","null",
"1400000US06001402400","Census Tract 4024; Alameda County; California","1163","null","1163","null","0","null","0","null",
"1400000US06001402500","Census Tract 4025; Alameda County; California","785","null","785","null","0","null","0","null",
"1400000US06001402600","Census Tract 4026; Alameda County; California","673","null","673","null","0","null","0","null",
"1400000US06001402700","Census Tract 4027; Alameda County; California","810","null","810","null","0","null","0","null",
"1400000US06001402801","Census Tract 4028.01; Alameda County; California","1445","null","1445","null","0","null","0","null",
"1400000US06001402802","Census Tract 4028.02; Alameda County; California","958","null","958","null","0","null","0","null",
"1400000US06001402900","Census Tract 4029; Alameda County; California","1502","null","1502","null","0","null","0","null",
"1400000US06001403000","Census Tract 4030; Alameda County; California","1763","null","1763","null","0","null","0","null",
"1400000US06001403100","Census Tract 4031; Alameda County; California","986","null","986","null","0","null","0","null",
"1400000US06001403301","Census Tract 4033.01; Alameda County; California","831","null","831","null","0","null","0","null",
"1400000US06001403302","Census Tract 4033.02; Alameda County; California","1859","null","1859","null","0","null","0","null",
"1400000US06001403401","Census Tract 4034.01; Alameda County; California","2085","null","2085","null","0","null","0","null",
"1400000US06001403402","Census Tract 4034.02; Alameda County; California","965","null","965","null","0","null","0","null",
"1400000US06001403501","Census Tract 4035.01; Alameda County; California","3721","null","3721","null","0","null","0","null",
"1400000US06001403502","Census Tract 4035.02; Alameda County; California","1307","null","1307","null","0","null","0","null",
"1400000US06001403600","Census Tract 4036; Alameda County; California","2765","null","2765","null","0","null","0","null",
"1400000US06001403701","Census Tract 4037.01; Alameda County; California","1682","null","1682","null","0","null","0","null",
"1400000US06001403702","Census Tract 4037.02; Alameda County; California","1299","null","1299","null","0","null","0","null",
"1400000US06001403800","Census Tract 4038; Alameda County; California","1978","null","1978","null","0","null","0","null",
"1400000US06001403900","Census Tract 4039; Alameda County; California","2314","null","2314","null","0","null","0","null",
"1400000US06001404000","Census Tract 4040; Alameda County; California","1857","null","1857","null","0","null","0","null",
"1400000US06001404101","Census Tract 4041.01; Alameda County; California","1836","null","1836","null","0","null","0","null",
"1400000US06001404102","Census Tract 4041.02; Alameda County; California","1712","null","1712","null","0","null","0","null",
"1400000US06001404200","Census Tract 4042; Alameda County; California","1446","null","1446","null","0","null","0","null",
"1400000US06001404300","Census Tract 4043; Alameda County; California","1409","null","1409","null","0","null","0","null",
"1400000US06001404400","Census Tract 4044; Alameda County; California","2420","null","2420","null","0","null","0","null",
"1400000US06001404501","Census Tract 4045.01; Alameda County; California","710","null","710","null","0","null","0","null",
"1400000US06001404502","Census Tract 4045.02; Alameda County; California","2565","null","2565","null","0","null","0","null",
"1400000US06001404600","Census Tract 4046; Alameda County; California","1902","null","1899","null","3","null","0","null",
"1400000US06001404700","Census Tract 4047; Alameda County; California","829","null","829","null","0","null","0","null",
"1400000US06001404800","Census Tract 4048; Alameda County; California","1301","null","1301","null","0","null","0","null",
"1400000US06001404900","Census Tract 4049; Alameda County; California","2145","null","2145","null","0","null","0","null",
"1400000US06001405000","Census Tract 4050; Alameda County; California","1596","null","1596","null","0","null","0","null",
"1400000US06001405100","Census Tract 4051; Alameda County; California","1635","null","1635","null","0","null","0","null",
"1400000US06001405200","Census Tract 4052; Alameda County; California","2589","null","2589","null","0","null","0","null",
"1400000US06001405301","Census Tract 4053.01; Alameda County; California","1691","null","1691","null","0","null","0","null",
"1400000US06001405302","Census Tract 4053.02; Alameda County; California","1643","null","1643","null","0","null","0","null",
"1400000US06001405401","Census Tract 4054.01; Alameda County; California","1744","null","1744","null","0","null","0","null",
"1400000US06001405402","Census Tract 4054.02; Alameda County; California","1260","null","1260","null","0","null","0","null",
"1400000US06001405500","Census Tract 4055; Alameda County; California","1683","null","1683","null","0","null","0","null",
"1400000US06001405600","Census Tract 4056; Alameda County; California","1510","null","1510","null","0","null","0","null",
"1400000US06001405700","Census Tract 4057; Alameda County; California","1430","null","1430","null","0","null","0","null",
"1400000US06001405800","Census Tract 4058; Alameda County; California","1427","null","1427","null","0","null","0","null",
"1400000US06001405901","Census Tract 4059.01; Alameda County; California","1219","null","1219","null","0","null","0","null",
"1400000US06001405902","Census Tract 4059.02; Alameda County; California","1034","null","1034","null","0","null","0","null",
"1400000US06001406000","Census Tract 4060; Alameda County; California","2064","null","2064","null","0","null","0","null",
"1400000US06001406100","Census Tract 4061; Alameda County; California","1987","null","1987","null","0","null","0","null",
"1400000US06001406201","Census Tract 4062.01; Alameda County; California","1564","null","1564","null","0","null","0","null",
"1400000US06001406202","Census Tract 4062.02; Alameda County; California","1431","null","1431","null","0","null","0","null",
"1400000US06001406300","Census Tract 4063; Alameda County; California","1350","null","1350","null","0","null","0","null",
"1400000US06001406400","Census Tract 4064; Alameda County; California","750","null","750","null","0","null","0","null",
"1400000US06001406500","Census Tract 4065; Alameda County; California","2031","null","2031","null","0","null","0","null",
"1400000US06001406601","Census Tract 4066.01; Alameda County; California","1831","null","1831","null","0","null","0","null",
"1400000US06001406602","Census Tract 4066.02; Alameda County; California","970","null","970","null","0","null","0","null",
"1400000US06001406700","Census Tract 4067; Alameda County; California","2374","null","2374","null","0","null","0","null",
"1400000US06001406800","Census Tract 4068; Alameda County; California","1460","null","1460","null","0","null","0","null",
"1400000US06001406900","Census Tract 4069; Alameda County; California","1567","null","1567","null","0","null","0","null",
"1400000US06001407000","Census Tract 4070; Alameda County; California","2236","null","2236","null","0","null","0","null",
"1400000US06001407101","Census Tract 4071.01; Alameda County; California","1160","null","1160","null","0","null","0","null",
"1400000US06001407102","Census Tract 4071.02; Alameda County; California","1384","null","1384","null","0","null","0","null",
