Estimate!!Total!!Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Estimate!!Unemployment rate!!Population 16 years and over,Tract Number
2633211,6.2,
75,1.0,4001
80,7.9,4002
173,3.4,4003
206,2.5,4004
308,6.4,4005
116,5.6,4006
330,6.0,4007
204,3.9,4008
124,5.1,4009
220,6.5,4010
396,6.1,4011
246,6.4,4012
477,5.8,4013
1013,8.1,4014
320,8.8,4015
357,12.0,4016
361,6.8,4017
132,5.1,4018
231,7.2,4022
254,8.5,4024
315,12.6,4025
117,4.4,4026
285,2.3,4027
298,7.8,4028.01
356,17.0,4028.02
125,5.9,4029
309,9.9,4030
179,10.3,4031
398,15.3,4033.01
122,0.0,4033.02
173,5.0,4034.01
0,3.2,4034.02
455,5.3,4035.01
160,2.9,4035.02
390,4.7,4036
223,4.2,4037.01
83,3.3,4037.02
86,1.2,4038
182,4.3,4039
206,2.8,4040
90,3.0,4041.01
82,1.5,4041.02
118,8.3,4042
133,6.4,4043
152,1.7,4044
27,0.6,4045.01
60,2.4,4045.02
126,6.8,4046
13,4.6,4047
54,6.0,4048
83,1.9,4049
98,6.3,4050
132,1.0,4051
221,3.8,4052
299,3.2,4053.01
156,5.5,4053.02
285,4.8,4054.01
339,7.3,4054.02
384,5.0,4055
235,7.0,4056
392,5.2,4057
518,7.6,4058
548,9.7,4059.01
386,12.2,4059.02
284,10.7,4060
501,6.5,4061
582,5.2,4062.01
660,2.4,4062.02
679,7.6,4063
250,3.5,4064
667,6.2,4065
336,8.1,4066.01
124,7.6,4066.02
104,2.6,4067
100,4.3,4068
247,7.5,4069
411,4.9,4070
518,8.2,4071.01
441,4.4,4071.02
861,9.7,4072
241,9.8,4073
486,11.0,4074
753,10.8,4075
360,4.4,4076
93,5.3,4077
143,8.0,4078
62,0.7,4079
10,6.2,4080
152,7.4,4081
400,6.0,4082
266,12.6,4083
217,7.0,4084
410,8.5,4085
662,5.6,4086
474,7.8,4087
797,7.4,4088
343,7.4,4089
375,7.4,4090
200,2.1,4091
137,3.5,4092
705,7.8,4093
840,2.1,4094
730,7.1,4095
378,10.0,4096
554,5.9,4097
207,6.7,4098
149,3.1,4099
65,7.5,4100
105,4.7,4101
395,1.2,4102
356,11.3,4103
214,7.7,4104
472,14.6,4105
40,2.6,4201
137,1.4,4202
110,4.3,4203.01
88,2.8,4203.02
246,0.0,4204.01
266,4.6,4204.02
128,4.6,4205
73,2.9,4206
48,6.2,4211
6,2.2,4212
120,5.4,4213
34,1.6,4214
83,5.0,4215
133,2.6,4216
397,3.5,4217
110,4.9,4218
167,4.7,4219
252,3.0,4220
99,4.4,4221
163,1.8,4222
291,4.8,4223
936,8.8,4224
775,4.9,4225
991,8.5,4227
1695,12.8,4228
766,4.9,4229.01
919,2.4,4229.02
435,3.0,4230
407,3.1,4231
361,1.8,4232
247,8.0,4233
362,6.5,4234
390,4.3,4235
178,6.6,4236.01
2474,3.9,4236.02
427,3.8,4237
212,3.5,4238
119,6.2,4239.01
171,0.9,4239.02
721,8.6,4240.01
166,7.7,4240.02
85,4.6,4251.01
280,0.4,4251.02
247,6.1,4251.03
449,4.1,4251.04
52,3.0,4261
139,6.6,4262
107,5.8,4271
214,3.9,4272
157,2.9,4273
274,2.5,4276
247,1.8,4277
279,4.3,4278
156,6.0,4279
110,6.4,4280
149,2.0,4281
96,2.1,4282
95,4.2,4283.01
135,5.3,4283.02
325,3.7,4284
178,3.7,4285
155,2.9,4286
385,9.0,4287
156,4.3,4301.01
69,3.2,4301.02
94,3.6,4302
100,3.6,4303
45,9.3,4304
662,4.4,4305
304,3.3,4306
188,4.1,4307
265,2.8,4308
421,4.8,4309
215,3.4,4310
161,2.1,4311
308,2.9,4312
88,5.7,4321
134,2.9,4322
132,6.5,4323
274,4.1,4324
205,2.9,4325.01
154,5.7,4325.02
271,4.8,4326.01
214,5.7,4326.02
95,9.7,4327
66,5.4,4328
257,6.3,4330
149,4.3,4331.02
154,6.5,4331.03
464,5.8,4331.04
685,2.2,4332
421,6.2,4333
132,3.6,4334
226,7.2,4335
588,2.6,4336
351,0.4,4337
155,5.6,4338.01
209,1.2,4338.02
625,7.0,4339
461,7.4,4340
382,8.3,4351.02
147,6.3,4351.03
334,6.5,4351.04
150,2.4,4352
129,5.7,4353
566,7.9,4354
288,4.1,4355
424,6.7,4356.01
360,5.1,4356.02
358,11.1,4357
255,4.0,4358
177,6.3,4359
158,6.8,4360
276,5.4,4361
264,9.2,4362
326,5.0,4363.01
183,1.9,4363.02
57,2.6,4364.02
230,5.7,4364.03
35,3.1,4364.04
644,6.1,4365
244,4.6,4366.01
232,3.6,4366.02
272,1.0,4367
157,2.6,4368
392,3.7,4369
73,4.1,4370
288,6.9,4371.01
218,3.5,4371.02
336,8.9,4372
428,8.1,4373
13,9.4,4374
315,3.3,4375
236,4.7,4376
196,3.5,4377.01
296,2.6,4377.02
139,5.0,4378
82,7.2,4379
60,3.5,4380
341,1.5,4381
96,6.2,4382.01
81,5.6,4382.03
186,7.1,4382.04
135,3.5,4383
46,4.7,4384
16,6.6,4401
187,2.3,4402
469,3.7,4403.01
162,3.7,4403.04
106,2.5,4403.05
163,2.4,4403.06
68,3.5,4403.07
224,2.5,4403.08
173,2.3,4403.31
34,4.7,4403.32
68,4.8,4403.33
215,3.0,4403.34
120,2.2,4403.36
26,4.8,4403.37
171,7.8,4403.38
134,5.6,4411
131,5.1,4412
75,2.2,4413.01
219,3.6,4413.02
100,4.0,4414.01
139,5.2,4414.02
56,6.6,4415.01
190,8.6,4415.03
106,4.7,4415.21
202,4.5,4415.22
17,2.5,4415.23
23,1.7,4415.24
10,9.3,4415.25
70,3.9,4416.01
112,0.3,4416.02
714,5.8,4417.01
159,1.4,4417.02
463,2.4,4418
53,7.6,4419.21
67,6.4,4419.23
376,5.0,4419.24
165,3.7,4419.26
100,3.3,4419.27
175,4.7,4419.28
231,1.3,4419.29
82,5.8,4420
63,3.1,4421
76,2.3,4422
264,2.8,4423.01
268,1.2,4423.02
200,1.4,4424
58,2.5,4425.01
91,2.7,4425.02
124,2.8,4426.01
152,2.5,4426.02
37,3.0,4427
79,6.1,4428
106,5.1,4429
61,2.2,4430.01
126,6.2,4430.02
116,3.9,4431.02
36,4.9,4431.03
36,3.9,4431.04
74,7.2,4431.05
21,5.3,4432
33,2.3,4433.01
126,3.6,4433.21
65,7.0,4433.22
119,3.4,4441
75,2.1,4442
69,6.0,4443.01
0,-,4443.03
106,2.8,4443.04
150,5.2,4444
255,6.4,4445
174,5.1,4446.01
68,4.3,4446.02
218,2.8,4501.01
197,1.7,4501.02
301,5.8,4502
93,6.2,4503
33,4.1,4504
63,3.0,4505.01
106,3.8,4505.02
32,4.0,4506.01
90,1.7,4506.03
86,2.6,4506.04
40,3.8,4506.05
45,4.7,4506.06
238,1.9,4506.07
189,3.3,4506.08
40,5.5,4506.09
422,1.7,4507.01
258,0.7,4507.41
89,3.1,4507.42
257,3.5,4507.43
75,2.3,4507.44
363,9.7,4507.45
6,6.2,4507.46
185,1.5,4507.50
58,3.5,4507.51
111,3.2,4507.52
110,2.2,4511.02
0,5.0,4511.03
193,3.2,4511.04
161,1.7,4512.01
91,3.9,4512.02
214,3.4,4513
190,3.0,4514.01
49,4.0,4514.03
415,3.8,4514.04
143,2.3,4515.01
133,1.8,4515.03
45,2.4,4515.04
0,3.4,4515.05
24,0.7,4515.06
299,3.9,4516.01
120,2.6,4516.02
48,3.0,4517.01
56,1.2,4517.03
112,7.5,4517.04
0,0.0,9819
0,0.0,9820
11,4.5,9821
48,1.5,9832
0,-,9900
76,10.0,100
135,8.0,1.01
168,13.6,1.02
89,4.7,2.01
95,9.3,2.02
63,9.4,3.01
226,1.6,3.03
329,4.4,3.04
156,12.7,4.01
177,6.3,4.02
91,1.9,5
372,6.5,1.02
205,3.9,1.03
657,5.8,1.04
328,5.9,2.01
490,7.1,2.02
717,6.8,3
329,5.2,4.01
222,7.7,4.03
27,0.9,4.04
635,5.9,5.01
1972,10.9,5.02
261,6.8,6.01
1130,11.0,6.03
