FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
06001400100,4001,3,"3,038","3,041",99
06001400200,4002,1,"2,001","2,002",50
06001400300,4003,1,"5,504","5,505",18
06001400400,4004,6,"4,112","4,118",146
06001400500,4005,15,"3,644","3,659",410
06001400600,4006,5,"1,788","1,793",279
06001400700,4007,19,"4,508","4,527",420
06001400800,4008,11,"3,917","3,928",280
06001400900,4009,6,"2,514","2,520",238
06001401000,4010,21,"6,097","6,118",343
06001401100,4011,10,"4,966","4,976",201
06001401200,4012,5,"2,989","2,994",167
06001401300,4013,7,"5,887","5,894",119
06001401400,4014,25,"5,355","5,380",465
06001401500,4015,13,"2,661","2,674",486
06001401600,4016,10,"2,971","2,981",335
06001401700,4017,18,"6,121","6,139",293
06001401800,4018,5,"1,981","1,986",252
06001402200,4022,10,"3,250","3,260",307
06001402400,4024,13,"2,459","2,472",526
06001402500,4025,16,"2,010","2,026",790
06001402600,4026,3,"1,226","1,229",244
06001402700,4027,7,"1,827","1,834",382
06001402801,4028.01,8,"2,941","2,949",271
06001402802,4028.02,6,"1,453","1,459",411
06001402900,4029,1,"1,917","1,918",52
06001403000,4030,5,"3,007","3,012",166
06001403100,4031,3,"1,690","1,693",177
06001403301,4033.01,3,"1,999","2,002",150
06001403302,4033.02,2,"3,220","3,222",62
06001403401,4034.01,5,"3,031","3,036",165
06001403402,4034.02,2,"1,524","1,526",131
06001403501,4035.01,7,"5,880","5,887",119
06001403502,4035.02,2,"2,148","2,150",93
06001403600,4036,3,"4,717","4,720",64
06001403701,4037.01,3,"2,786","2,789",108
06001403702,4037.02,0,"2,149","2,149",0
06001403800,4038,6,"3,710","3,716",161
06001403900,4039,4,"3,943","3,947",101
06001404000,4040,1,"3,049","3,050",33
06001404101,4041.01,2,"3,139","3,141",64
06001404102,4041.02,1,"2,516","2,517",40
06001404200,4042,1,"3,641","3,642",27
06001404300,4043,1,"3,416","3,417",29
06001404400,4044,6,"5,621","5,627",107
06001404501,4045.01,1,"1,771","1,772",56
06001404502,4045.02,9,"6,194","6,203",145
06001404600,4046,3,"4,551","4,554",66
06001404700,4047,1,"1,982","1,983",50
06001404800,4048,5,"2,757","2,762",181
06001404900,4049,5,"4,458","4,463",112
06001405000,4050,4,"3,313","3,317",121
06001405100,4051,6,"4,363","4,369",137
