Plurality Race,Tract Number
White,4001.0
White,4002.0
White,4003.0
White,4004.0
White,4005.0
White,4006.0
White,4007.0
White,4008.0
White,4009.0
White,4010.0
White,4011.0
White,4012.0
White,4013.0
White,4014.0
Black or African American,4015.0
White,4016.0
White,4017.0
Black or African American,4018.0
White,4022.0
Black or African American,4024.0
Black or African American,4025.0
Asian,4026.0
Black or African American,4027.0
Black or African American,4028.01
Black or African American,4028.02
Asian,4029.0
Asian,4030.0
Asian,4031.0
Asian,4033.01
White,4033.02
White,4034.01
White,4034.02
White,4035.01
White,4035.02
White,4036.0
White,4037.01
White,4037.02
White,4038.0
White,4039.0
White,4040.0
White,4041.01
White,4041.02
White,4042.0
White,4043.0
White,4044.0
White,4045.01
White,4045.02
White,4046.0
White,4047.0
White,4048.0
White,4049.0
White,4050.0
White,4051.0
White,4052.0
White,4053.01
Asian,4053.02
Asian,4054.01
Asian,4054.02
Asian,4055.0
Asian,4056.0
Asian,4057.0
Asian,4058.0
Asian,4059.01
Asian,4059.02
Asian,4060.0
Some Other Race,4061.0
Some Other Race,4062.01
Some Other Race,4062.02
Asian,4063.0
White,4064.0
Some Other Race,4065.0
Asian,4066.01
Asian,4066.02
White,4067.0
White,4068.0
White,4069.0
Asian,4070.0
Some Other Race,4071.01
Some Other Race,4071.02
Some Other Race,4072.0
Some Other Race,4073.0
Some Other Race,4074.0
Some Other Race,4075.0
Black or African American,4076.0
Black or African American,4077.0
White,4078.0
White,4079.0
White,4080.0
White,4081.0
Black or African American,4082.0
Black or African American,4083.0
Black or African American,4084.0
Some Other Race,4085.0
Some Other Race,4086.0
Black or African American,4087.0
Some Other Race,4088.0
Some Other Race,4089.0
Some Other Race,4090.0
Some Other Race,4091.0
Some Other Race,4092.0
Some Other Race,4093.0
Some Other Race,4094.0
Some Other Race,4095.0
Some Other Race,4096.0
Black or African American,4097.0
Black or African American,4098.0
Black or African American,4099.0
Black or African American,4100.0
Black or African American,4101.0
Black or African American,4102.0
Some Other Race,4103.0
Black or African American,4104.0
Black or African American,4105.0
White,4201.0
Asian,4202.0
Asian,4203.01
White,4203.02
White,4204.01
White,4204.02
White,4205.0
White,4206.0
White,4211.0
White,4212.0
White,4213.0
White,4214.0
White,4215.0
White,4216.0
White,4217.0
White,4218.0
White,4219.0
White,4220.0
White,4221.0
White,4222.0
White,4223.0
White,4224.0
White,4225.0
White,4227.0
Asian,4228.0
Asian,4229.01
Asian,4229.02
White,4230.0
White,4231.0
White,4232.0
White,4233.0
White,4234.0
White,4235.0
White,4236.01
White,4236.02
White,4237.0
White,4238.0
White,4239.01
White,4239.02
White,4240.01
White,4240.02
White,4251.01
Asian,4251.02
White,4251.03
White,4251.04
White,4261.0
White,4262.0
White,4271.0
White,4272.0
White,4273.0
Asian,4276.0
White,4277.0
White,4278.0
White,4279.0
Asian,4280.0
White,4281.0
White,4282.0
Asian,4283.01
Asian,4283.02
White,4284.0
White,4285.0
White,4286.0
Asian,4287.0
Asian,4301.01
White,4301.02
White,4302.0
White,4303.0
White,4304.0
White,4305.0
White,4306.0
White,4307.0
White,4308.0
White,4309.0
White,4310.0
White,4311.0
White,4312.0
White,4321.0
White,4322.0
Asian,4323.0
Asian,4324.0
Asian,4325.01
Asian,4325.02
Asian,4326.01
White,4326.02
White,4327.0
White,4328.0
Asian,4330.0
Asian,4331.02
Some Other Race,4331.03
Some Other Race,4331.04
Asian,4332.0
Asian,4333.0
Asian,4334.0
Asian,4335.0
Asian,4336.0
Some Other Race,4337.0
Some Other Race,4338.01
Asian,4338.02
Some Other Race,4339.0
Some Other Race,4340.0
White,4351.02
Asian,4351.03
Asian,4351.04
White,4352.0
White,4353.0
White,4354.0
Some Other Race,4355.0
Some Other Race,4356.01
Some Other Race,4356.02
Some Other Race,4357.0
Asian,4358.0
Asian,4359.0
Asian,4360.0
Asian,4361.0
Some Other Race,4362.0
Asian,4363.01
Some Other Race,4363.02
White,4364.02
White,4364.03
White,4364.04
Some Other Race,4365.0
Some Other Race,4366.01
Some Other Race,4366.02
Some Other Race,4367.0
Some Other Race,4368.0
Some Other Race,4369.0
Asian,4370.0
Asian,4371.01
Asian,4371.02
Asian,4372.0
Asian,4373.0
Some Other Race,4374.0
Some Other Race,4375.0
Some Other Race,4376.0
Some Other Race,4377.01
Some Other Race,4377.02
Asian,4378.0
Some Other Race,4379.0
Asian,4380.0
Asian,4381.0
Some Other Race,4382.01
Asian,4382.03
Asian,4382.04
Asian,4383.0
Asian,4384.0
Asian,4401.0
Some Other Race,4402.0
Asian,4403.01
Asian,4403.04
Asian,4403.05
Asian,4403.06
Asian,4403.07
Asian,4403.08
Asian,4403.31
Asian,4403.32
Asian,4403.33
Asian,4403.34
Asian,4403.36
Asian,4403.37
Asian,4403.38
White,4411.0
Asian,4412.0
Asian,4413.01
Asian,4413.02
Asian,4414.01
Asian,4414.02
Asian,4415.01
Asian,4415.03
Asian,4415.21
Asian,4415.22
Asian,4415.23
Asian,4415.24
Asian,4415.25
Asian,4416.01
Asian,4416.02
Asian,4417.01
Asian,4417.02
Asian,4418.0
Asian,4419.21
Asian,4419.23
Asian,4419.24
Asian,4419.26
Asian,4419.27
Asian,4419.28
Asian,4419.29
Asian,4420.0
Asian,4421.0
Asian,4422.0
Asian,4423.01
Asian,4423.02
Asian,4424.0
Asian,4425.01
Asian,4425.02
Asian,4426.01
Asian,4426.02
Asian,4427.0
Asian,4428.0
Asian,4429.0
Asian,4430.01
Asian,4430.02
Asian,4431.02
Asian,4431.03
Asian,4431.04
Asian,4431.05
Asian,4432.0
Asian,4433.01
Asian,4433.21
Asian,4433.22
Asian,4441.0
Asian,4442.0
Asian,4443.01
Asian,4443.03
Asian,4443.04
Some Other Race,4444.0
Asian,4445.0
Asian,4446.01
Asian,4446.02
Asian,4501.01
White,4501.02
Asian,4502.0
White,4503.0
White,4504.0
White,4505.01
Asian,4505.02
White,4506.01
White,4506.03
White,4506.04
White,4506.05
White,4506.06
White,4506.07
White,4506.08
White,4506.09
White,4507.01
White,4507.41
White,4507.42
Asian,4507.43
White,4507.44
Asian,4507.45
White,4507.46
Asian,4507.5
Asian,4507.51
Asian,4507.52
White,4511.02
White,4511.03
White,4511.04
White,4512.01
White,4512.02
White,4513.0
White,4514.01
White,4514.03
White,4514.04
White,4515.01
White,4515.03
White,4515.04
White,4515.05
White,4515.06
White,4516.01
White,4516.02
White,4517.01
White,4517.03
White,4517.04
White,9819.0
White,9820.0
White,9821.0
White,9832.0
White,100.0
White,1.01
White,1.02
White,2.01
White,2.02
White,3.01
White,3.03
White,3.04
White,4.01
White,4.02
White,5.0
White,1.02
White,1.03
White,1.04
White,2.01
White,2.02
White,3.0
White,4.01
White,4.03
White,4.04
White,5.01
White,5.02
White,6.01
White,6.03
White,6.04
White,7.0
White,8.0
White,9.01
White,9.03
White,9.04
White,10.0
White,11.0
White,12.0
White,13.0
White,14.0
White,15.0
White,16.01
White,16.02
White,17.02
White,17.03
White,17.04
White,18.0
White,19.0
White,20.0
White,21.0
White,22.0
White,23.0
White,24.01
White,24.02
White,25.0
White,26.01
White,26.02
White,27.0
White,28.0
White,29.0
White,30.01
White,30.02
White,31.0
White,32.0
White,33.0
White,34.0
White,35.01
White,35.02
White,36.0
White,37.0
White,1.21
White,1.22
White,1.23
White,1.24
White,2.2
White,2.21
White,2.22
White,3.01
White,3.02
White,4.0
White,5.01
White,5.04
White,5.05
White,5.06
White,1.0
White,2.0
Some Other Race,3.01
Some Other Race,3.02
White,4.0
White,5.0
White,3010.0
White,3020.05
White,3020.06
White,3020.07
Black or African American,3020.09
White,3020.11
White,3020.12
White,3020.13
White,3020.14
White,3031.04
White,3031.05
White,3031.06
White,3031.07
White,3032.02
White,3032.04
White,3032.06
Black or African American,3032.07
White,3032.08
White,3032.09
White,3032.1
White,3032.11
White,3040.01
White,3040.02
White,3040.03
White,3040.04
White,3040.06
White,3040.07
Some Other Race,3050.0
White,3060.02
White,3060.03
White,3060.04
White,3071.01
White,3071.02
Some Other Race,3072.01
Black or African American,3072.02
White,3072.04
White,3072.05
White,3080.01
White,3080.02
Black or African American,3090.0
Some Other Race,3100.0
Some Other Race,3110.0
Black or African American,3120.0
Black or African American,3131.02
White,3131.04
Black or African American,3131.05
White,3131.06
White,3131.07
White,3132.03
Some Other Race,3132.04
Some Other Race,3132.05
Some Other Race,3132.06
Some Other Race,3141.02
Some Other Race,3141.03
Some Other Race,3141.05
Some Other Race,3141.06
Some Other Race,3142.0
White,3150.0
White,3160.0
White,3170.0
White,3180.0
White,3190.01
White,3190.02
White,3200.01
White,3200.03
White,3200.04
White,3211.01
White,3211.02
White,3211.03
White,3212.0
White,3220.0
White,3230.0
White,3240.02
White,3240.03
White,3240.04
White,3250.0
White,3260.0
White,3270.01
White,3270.02
White,3280.0
White,3290.0
White,3300.0
White,3310.0
White,3320.0
White,3331.01
White,3331.02
White,3332.0
White,3340.01
White,3340.06
White,3340.07
White,3340.08
White,3342.0
White,3350.0
Some Other Race,3361.01
Some Other Race,3361.03
Some Other Race,3361.04
Some Other Race,3362.01
Some Other Race,3362.02
White,3371.0
White,3372.01
White,3372.02
White,3373.0
White,3381.01
White,3381.02
White,3382.01
White,3382.03
White,3382.04
White,3383.01
White,3383.02
White,3390.01
White,3390.03
White,3390.04
White,3400.01
White,3400.03
